ABB,ABBEVILLE,108.450,0,1,195,50.135139,1.854694,220,LF,0
ABC,ABUJA,116.300,1,1,195,9.037806,7.285111,1191,DN,0
ABD,MALANG,116.100,1,1,195,-7.932764,112.713111,1715,WA,0
ABD,ABADAN,210.000,0,0,195,30.370472,48.219917,0,OI,0
ABD,ABADAN,115.100,1,1,195,30.375306,48.220611,8,OI,0
ABD,ABYAD DAMASCUS,264.000,0,0,195,33.335286,36.428189,0,OS,0
ABG,AMBASSADOR BIG SANDY,404.000,0,0,195,32.585494,-95.113119,424,K4,0
ABH,ABHA,112.900,1,1,195,18.241917,42.656944,6900,OE,0
ABI,DJIBOUTI,114.600,0,1,195,11.549222,43.154861,40,HD,0
ABI,ABILENE,113.700,1,1,195,32.481331,-99.863453,1809,K4,0
ABK,ABAKAN,113.300,0,1,195,53.744639,91.385528,900,UN,0
ABL,AMBALEMA,112.700,1,1,195,4.783889,-74.767500,900,SK,0
ABM,ABUMUSA ISLAND,115.400,0,1,195,25.877917,55.023056,32,OI,0
ABM,ABUMUSA ISLAND,285.000,0,0,195,25.878000,55.022806,0,OI,0
ABN,AKTOBE,400.000,0,0,195,50.262639,57.179889,0,UA,0
ABQ,ALBUQUERQUE,113.200,1,1,195,35.043794,-106.816311,5749,K2,0
ABR,ABERDEEN,113.000,1,1,195,45.417356,-98.368719,1303,K3,0
ABU,ABU ARGUB,115.100,1,1,195,32.462833,13.169508,489,HL,0
ABU,ALTENBURG,330.000,0,0,195,50.993775,12.521039,0,ED,0
ABV,ALEXANDER BAY,112.100,1,1,195,-28.570653,16.533833,98,FA,0
ABW,UTAA RW11L ILS/CAT II,108.500,0,1,195,37.999861,58.347000,700,UT,0
ABY,LFAQ RW26 ILS/CAT I,108.750,0,1,195,49.971806,2.704944,403,LF,0
ABY,ALBERT BRAY,321.000,0,0,195,49.976250,2.809417,0,LF,0
AC,ANLOC,320.000,0,0,195,10.939167,107.188333,66,VV,0
AC,LFKJ RW02 ILS/CAT I,110.300,0,1,195,41.914889,8.798611,51,LF,0
ACA,ACAPULCO,115.900,1,1,195,16.758472,-99.753964,12,MM,0
ACC,ACCRA,113.100,1,1,195,5.634069,-0.155364,258,DG,0
ACE,KACHEMAK HOMER,277.000,0,0,195,59.641333,-151.500275,0,PA,0
ACH,ANTON CHICO,117.800,1,1,195,35.111706,-105.039928,5450,K2,0
ACJ,SOUTHER AMERICUS,242.000,0,0,195,32.112108,-84.186853,0,K7,0
ACK,NANTUCKET,116.200,1,1,195,41.281875,-70.026703,77,K6,0
ACO,AKRON,114.400,1,1,195,41.107903,-81.201519,1197,K5,0
ACT,WACO,115.300,1,1,195,31.662231,-97.269014,507,K4,0
ACV,ARCATA,115.050,1,1,195,40.981442,-124.108317,194,K2,0
ACY,ATLANTIC CITY,117.150,1,1,195,39.455875,-74.576314,67,K6,0
AD,ADELAIDE,116.400,1,1,195,-34.946972,138.524528,35,YM,0
AD,ABIDJAN,114.300,1,1,195,5.282817,-3.916978,46,DI,0
AD,ADEN,361.000,0,0,195,12.870278,45.005556,0,OY,0
AD,DAUA RW04 ILS/CAT I,109.700,0,1,195,27.830058,-0.195192,974,DA,0
AD,SOCHI,365.000,0,0,195,43.454778,39.960778,165,UR,0
AD,KRALJEVO,387.000,0,0,195,43.754417,20.664278,0,LY,0
AD,SHEREMETYEVO MOSCOW,700.000,0,0,195,55.986333,37.500000,0,UU,0
AD,ENSD RW26 ILS/LLZ NO GS,108.300,0,1,195,61.829447,6.111647,228,EN,0
AD,ANDA,288.000,0,0,195,61.829567,6.115939,0,EN,0
ADA,ALDEIA SAO PEDRO DA,112.100,1,1,195,-22.812775,-42.095339,57,SB,0
ADA,GMAD RW27 ILS/CAT I,110.300,0,1,195,30.320944,-9.398361,295,GM,0
ADA,ADANA,112.700,1,1,195,36.940583,35.210389,69,LT,0
ADG,ADRIAN,278.000,0,0,195,41.869986,-84.077481,799,K5,0
ADK,MOUNT MOFFETT,114.000,0,1,195,51.871075,-176.674275,329,PA,0
ADK,MOUNT MOFFETT,530.000,0,0,195,51.871878,-176.675989,329,PA,0
ADL,SOCHI,112.700,1,1,195,43.454472,39.962111,128,UR,0
ADM,AL-MASSIRA AGADIR,117.200,1,1,195,30.321917,-9.383472,295,GM,0
ADM,ARDMORE,116.700,1,1,195,34.211586,-97.168228,937,K4,0
ADM,ADAMCLISI,111.600,0,1,195,44.090278,27.960833,700,LR,0
ADN,ROBERTO MONTERRY,115.400,1,1,195,25.865442,-100.238794,1493,MM,0
ADN,ADANA,395.000,0,0,195,36.970889,35.261611,0,LT,0
ADN,ABERDEEN,114.300,1,1,195,57.310450,-2.267247,610,EG,0
ADR,ADRAR,112.600,1,1,195,27.820333,-0.202758,952,DA,0
ADS,ADDIS ABABA,112.900,1,1,195,8.975042,38.799400,7658,HA,0
ADV,ABU DHABI,114.250,1,1,195,24.418964,54.673244,109,OM,0
ADV,ADVENT SVALBARD,326.000,0,0,195,78.176808,16.012508,0,EN,0
ADW,ANDREWS CAMP SPRINGS,113.100,1,1,195,38.807219,-76.866256,263,K6,0
ADX,ANDRAITX,384.000,0,0,195,39.549444,2.395861,0,LE,0
AE,SABE RW13 ILS/CAT II,109.500,0,1,195,-34.556197,-58.423192,15,SA,0
AE,ABECHE,114.500,1,0,195,13.846633,20.863050,0,FT,0
AE,DUDLE ALBUQUERQUE,351.000,0,0,195,35.217400,-106.712800,5455,K2,0
AE,EKYT RW08L ILS/CAT I,109.900,0,1,195,57.095197,9.838178,33,EK,0
AEA,ALGHERO,111.650,1,1,195,40.638167,8.291778,102,LI,0
AEL,ALBERT LEA,109.800,1,1,195,43.681736,-93.370756,1252,K3,0
AEX,ALEXANDRIA,116.100,1,1,195,31.256731,-92.500972,76,K4,0
AFI,AFFLIGEM,114.900,1,1,195,50.907667,4.138972,300,EB,0
AG,SEMBAWANG SINGAPORE,325.000,0,0,195,1.424000,103.820278,0,WS,0
AG,BUSHE AUGUSTA,233.000,0,0,195,33.286886,-81.946853,301,K7,0
AG,DAAG RW23 ILS/CAT III,110.300,0,1,195,36.710150,3.249167,131,DA,0
AG,AGOY,381.000,0,0,195,44.139444,39.026667,0,UR,0
AG,YERBOGACHEN,735.000,0,0,195,61.276667,108.028333,0,UE,0
AGB,AUGSBURG,318.000,0,0,195,48.424297,10.933094,0,ED,0
AGC,ALLEGHENY PITTSBURGH,110.000,1,1,195,40.278644,-80.040856,1289,K6,0
AGD,ALTENBURG,115.300,0,1,195,50.982689,12.512283,650,ED,0
AGG,AGALEGA,429.000,0,0,195,-10.366667,56.600000,0,FI,0
AGG,AGRA,112.000,1,1,195,27.157278,77.956556,570,VI,0
AGH,ANCHIALOS,110.400,1,1,195,39.216489,22.794922,68,LG,0
AGJ,GOOCH SPRINGS,112.500,1,1,195,31.185506,-98.141858,1191,K4,0
AGN,AGEN,114.800,0,1,195,43.888028,0.872861,896,LF,0
AGO,AGOY,116.800,0,1,195,44.138889,39.025000,131,UR,0
AGO,ANGOULEME,404.000,0,0,195,45.710722,0.426889,456,LF,0
AGP,MALAGA,117.150,1,1,195,36.684333,-4.487333,1,LE,0
AGU,MONTEAGUDO,305.000,0,0,195,-19.822778,-63.961944,0,SL,0
AGU,AGUASCALIENTES,113.600,1,1,195,21.711400,-102.319047,6073,MM,0
AGV,AGGENEYS,116.700,1,1,195,-29.481019,18.562492,2648,FA,0
AGV,ACARIGUA,113.400,1,1,195,9.552083,-69.237917,758,SV,0
AGZ,WAGNER,392.000,0,0,195,43.063392,-98.293169,1463,K3,0
AGZ,AYAGUZ,113.600,1,1,195,47.931111,80.449722,2200,UA,0
AH,ANTALAHA,321.000,0,0,195,-14.998917,50.317917,0,FM,0
AH,AHMEDABAD,215.000,0,0,195,23.141389,72.699667,0,VA,0
AH,ANGELHOLM,417.000,0,0,195,56.266167,12.900750,0,ES,0
AHC,AMEDEE HERLONG,109.000,1,1,195,40.267864,-120.151967,4005,K2,0
AHD,UTAA RW29R ILS/CAT II,108.700,0,1,195,37.985694,58.378444,700,UT,0
AHN,ATHENS,116.950,1,1,195,33.947594,-83.324758,793,K7,0
AHO,ALGHERO,109.300,0,1,195,40.636056,8.289556,121,LI,0
AHQ,WAHOO,400.000,0,0,195,41.239003,-96.598661,1222,K3,0
AHR,HERAT,116.200,1,1,195,34.206944,62.232778,3323,OA,0
AHR,ARVAIKHEER,115.600,0,1,195,46.257778,102.790556,6004,ZM,0
AHT,ASHIYA,108.600,0,1,195,33.887428,130.649867,98,RJ,0
